Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) ",Water to Cement Ratio (W/C),Blast Furnace/Cement,Fly Ash/Cement
540,0,0,162,2.5,1040,676,28,79.99,0.3,0,0
540,0,0,162,2.5,1055,676,28,61.89,0.3,0,0
332.5,142.5,0,228,0,932,594,270,40.27,0.685714286,0.428571429,0
332.5,142.5,0,228,0,932,594,365,41.05,0.685714286,0.428571429,0
198.6,132.4,0,192,0,978.4,825.5,360,44.3,0.966767372,0.666666667,0
266,114,0,228,0,932,670,90,47.03,0.857142857,0.428571429,0
380,95,0,228,0,932,594,365,43.7,0.6,0.25,0
380,95,0,228,0,932,594,28,36.45,0.6,0.25,0
266,114,0,228,0,932,670,28,45.85,0.857142857,0.428571429,0
475,0,0,228,0,932,594,28,39.29,0.48,0,0
198.6,132.4,0,192,0,978.4,825.5,90,38.07,0.966767372,0.666666667,0
198.6,132.4,0,192,0,978.4,825.5,28,28.02,0.966767372,0.666666667,0
427.5,47.5,0,228,0,932,594,270,43.01,0.533333333,0.111111111,0
190,190,0,228,0,932,670,90,42.33,1.2,1,0
304,76,0,228,0,932,670,28,47.81,0.75,0.25,0
380,0,0,228,0,932,670,90,52.91,0.6,0,0
139.6,209.4,0,192,0,1047,806.9,90,39.36,1.375358166,1.5,0
342,38,0,228,0,932,670,365,56.14,0.666666667,0.111111111,0
380,95,0,228,0,932,594,90,40.56,0.6,0.25,0
475,0,0,228,0,932,594,180,42.62,0.48,0,0
427.5,47.5,0,228,0,932,594,180,41.84,0.533333333,0.111111111,0
139.6,209.4,0,192,0,1047,806.9,28,28.24,1.375358166,1.5,0
139.6,209.4,0,192,0,1047,806.9,3,8.06,1.375358166,1.5,0
139.6,209.4,0,192,0,1047,806.9,180,44.21,1.375358166,1.5,0
380,0,0,228,0,932,670,365,52.52,0.6,0,0
380,0,0,228,0,932,670,270,53.3,0.6,0,0
380,95,0,228,0,932,594,270,41.15,0.6,0.25,0
342,38,0,228,0,932,670,180,52.12,0.666666667,0.111111111,0
427.5,47.5,0,228,0,932,594,28,37.43,0.533333333,0.111111111,0
475,0,0,228,0,932,594,7,38.6,0.48,0,0
304,76,0,228,0,932,670,365,55.26,0.75,0.25,0
266,114,0,228,0,932,670,365,52.91,0.857142857,0.428571429,0
198.6,132.4,0,192,0,978.4,825.5,180,41.72,0.966767372,0.666666667,0
475,0,0,228,0,932,594,270,42.13,0.48,0,0
190,190,0,228,0,932,670,365,53.69,1.2,1,0
237.5,237.5,0,228,0,932,594,270,38.41,0.96,1,0
237.5,237.5,0,228,0,932,594,28,30.08,0.96,1,0
332.5,142.5,0,228,0,932,594,90,37.72,0.685714286,0.428571429,0
475,0,0,228,0,932,594,90,42.23,0.48,0,0
237.5,237.5,0,228,0,932,594,180,36.25,0.96,1,0
342,38,0,228,0,932,670,90,50.46,0.666666667,0.111111111,0
427.5,47.5,0,228,0,932,594,365,43.7,0.533333333,0.111111111,0
237.5,237.5,0,228,0,932,594,365,39,0.96,1,0
380,0,0,228,0,932,670,180,53.1,0.6,0,0
427.5,47.5,0,228,0,932,594,90,41.54,0.533333333,0.111111111,0
427.5,47.5,0,228,0,932,594,7,35.08,0.533333333,0.111111111,0
349,0,0,192,0,1047,806.9,3,15.05,0.550143266,0,0
380,95,0,228,0,932,594,180,40.76,0.6,0.25,0
237.5,237.5,0,228,0,932,594,7,26.26,0.96,1,0
380,95,0,228,0,932,594,7,32.82,0.6,0.25,0
332.5,142.5,0,228,0,932,594,180,39.78,0.685714286,0.428571429,0
190,190,0,228,0,932,670,180,46.93,1.2,1,0
237.5,237.5,0,228,0,932,594,90,33.12,0.96,1,0
304,76,0,228,0,932,670,90,49.19,0.75,0.25,0
139.6,209.4,0,192,0,1047,806.9,7,14.59,1.375358166,1.5,0
198.6,132.4,0,192,0,978.4,825.5,7,14.64,0.966767372,0.666666667,0
475,0,0,228,0,932,594,365,41.93,0.48,0,0
198.6,132.4,0,192,0,978.4,825.5,3,9.13,0.966767372,0.666666667,0
304,76,0,228,0,932,670,180,50.95,0.75,0.25,0
332.5,142.5,0,228,0,932,594,28,33.02,0.685714286,0.428571429,0
304,76,0,228,0,932,670,270,54.38,0.75,0.25,0
266,114,0,228,0,932,670,270,51.73,0.857142857,0.428571429,0
310,0,0,192,0,971,850.6,3,9.87,0.619354839,0,0
190,190,0,228,0,932,670,270,50.66,1.2,1,0
266,114,0,228,0,932,670,180,48.7,0.857142857,0.428571429,0
342,38,0,228,0,932,670,270,55.06,0.666666667,0.111111111,0
139.6,209.4,0,192,0,1047,806.9,360,44.7,1.375358166,1.5,0
332.5,142.5,0,228,0,932,594,7,30.28,0.685714286,0.428571429,0
190,190,0,228,0,932,670,28,40.86,1.2,1,0
485,0,0,146,0,1120,800,28,71.99,0.301030928,0,0
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4,0.454812834,0.505882353,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8,0.560165975,0.836897542,0
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,0.361176471,0.250117647,0
425,106.3,0,151.4,18.6,936,803.7,3,36.3,0.356235294,0.250117647,0
375,93.8,0,126.6,23.4,852.1,992.6,3,29,0.3376,0.250133333,0
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8,0.381263158,0.250105263,0
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2,0.293816631,0.24989339,0
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,0.361176471,0.250117647,0
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1,0.406330417,0.249871333,0
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3,0.266892528,0,0
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,0.361176471,0.250117647,0
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2,0.488393977,0.666562108,0
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1,0.366849179,0.235689398,0
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,0.454771098,0.521235521,0
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3,0.5678097,0.87364844,0
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6,0.405533597,0.398418972,0
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,0.454771098,0.521235521,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4,0.505413902,0.701711491,0
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,0.454771098,0.521235521,0
439,177,0,186,11.1,884.9,707.9,3,39.3,0.423690205,0.403189066,0
389.9,189,0,145.9,22,944.7,755.8,3,40.6,0.374198512,0.484739677,0
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,0.454771098,0.521235521,0
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1,0.51760876,0.559337082,0
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2,0.454812834,0.505882353,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8,0.560165975,0.836897542,0
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,0.361176471,0.250117647,0
425,106.3,0,151.4,18.6,936,803.7,7,46.8,0.356235294,0.250117647,0
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7,0.3376,0.250133333,0
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6,0.381263158,0.250105263,0
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9,0.293816631,0.24989339,0
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,0.361176471,0.250117647,0
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9,0.406330417,0.249871333,0
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9,0.266892528,0,0
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,0.361176471,0.250117647,0
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4,0.488393977,0.666562108,0
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1,0.366849179,0.235689398,0
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,0.454771098,0.521235521,0
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8,0.5678097,0.87364844,0
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1,0.405533597,0.398418972,0
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,0.454771098,0.521235521,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38,0.505413902,0.701711491,0
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,0.454771098,0.521235521,0
439,177,0,186,11.1,884.9,707.9,7,56.1,0.423690205,0.403189066,0
389.9,189,0,145.9,22,944.7,755.8,7,59.09,0.374198512,0.484739677,0
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9,0.454771098,0.521235521,0
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1,0.51760876,0.559337082,0
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09,0.454812834,0.505882353,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8,0.560165975,0.836897542,0
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,0.361176471,0.250117647,0
425,106.3,0,151.4,18.6,936,803.7,28,61.8,0.356235294,0.250117647,0
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7,0.3376,0.250133333,0
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3,0.381263158,0.250105263,0
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9,0.293816631,0.24989339,0
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,0.361176471,0.250117647,0
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7,0.406330417,0.249871333,0
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4,0.266892528,0,0
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,0.361176471,0.250117647,0
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5,0.488393977,0.666562108,0
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5,0.366849179,0.235689398,0
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,0.454771098,0.521235521,0
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7,0.5678097,0.87364844,0
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2,0.405533597,0.398418972,0
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,0.454771098,0.521235521,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7,0.505413902,0.701711491,0
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,0.454771098,0.521235521,0
439,177,0,186,11.1,884.9,707.9,28,66,0.423690205,0.403189066,0
389.9,189,0,145.9,22,944.7,755.8,28,74.5,0.374198512,0.484739677,0
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,0.454771098,0.521235521,0
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9,0.51760876,0.559337082,0
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4,0.454812834,0.505882353,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9,0.560165975,0.836897542,0
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,0.361176471,0.250117647,0
425,106.3,0,151.4,18.6,936,803.7,56,64.9,0.356235294,0.250117647,0
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2,0.3376,0.250133333,0
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3,0.381263158,0.250105263,0
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3,0.293816631,0.24989339,0
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,0.361176471,0.250117647,0
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2,0.406330417,0.249871333,0
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8,0.266892528,0,0
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3,0.361176471,0.250117647,0
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1,0.488393977,0.666562108,0
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7,0.366849179,0.235689398,0
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,0.454771098,0.521235521,0
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2,0.5678097,0.87364844,0
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9,0.405533597,0.398418972,0
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,0.454771098,0.521235521,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99,0.505413902,0.701711491,0
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,0.454771098,0.521235521,0
439,177,0,186,11.1,884.9,707.9,56,71.7,0.423690205,0.403189066,0
389.9,189,0,145.9,22,944.7,755.8,56,79.4,0.374198512,0.484739677,0
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3,0.454771098,0.521235521,0
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89,0.51760876,0.559337082,0
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9,0.454812834,0.505882353,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6,0.560165975,0.836897542,0
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,0.361176471,0.250117647,0
425,106.3,0,151.4,18.6,936,803.7,91,66.7,0.356235294,0.250117647,0
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5,0.3376,0.250133333,0
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19,0.381263158,0.250105263,0
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7,0.293816631,0.24989339,0
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,0.361176471,0.250117647,0
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6,0.406330417,0.249871333,0
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2,0.266892528,0,0
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2,0.361176471,0.250117647,0
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1,0.488393977,0.666562108,0
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5,0.366849179,0.235689398,0
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,0.454771098,0.521235521,0
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5,0.405533597,0.398418972,0
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,0.454771098,0.521235521,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8,0.505413902,0.701711491,0
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,0.454771098,0.521235521,0
439,177,0,186,11.1,884.9,707.9,91,73.3,0.423690205,0.403189066,0
389.9,189,0,145.9,22,944.7,755.8,91,82.6,0.374198512,0.484739677,0
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3,0.454771098,0.521235521,0
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8,0.51760876,0.559337082,0
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58,0.851277208,0,0.434802158
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45,0.851277208,0,0.434802158
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89,0.851277208,0,0.434802158
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45,0.851277208,0,0.434802158
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71,0.851277208,0,0.434802158
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38,0.846370985,0,0.404619333
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14,0.846370985,0,0.404619333
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84,0.846370985,0,0.404619333
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66,0.846370985,0,0.404619333
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56,0.846370985,0,0.404619333
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45,0.850729402,0,0.516178737
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99,0.850729402,0,0.516178737
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72,0.850729402,0,0.516178737
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96,0.850729402,0,0.516178737
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34,0.850729402,0,0.516178737
190.7,0,125.4,162.1,7.8,1090,804,3,15.04,0.850325152,0,0.657577347
190.7,0,125.4,162.1,7.8,1090,804,14,21.06,0.850325152,0,0.657577347
190.7,0,125.4,162.1,7.8,1090,804,28,26.4,0.850325152,0,0.657577347
190.7,0,125.4,162.1,7.8,1090,804,56,35.34,0.850325152,0,0.657577347
190.7,0,125.4,162.1,7.8,1090,804,100,40.57,0.850325152,0,0.657577347
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47,0.850238129,0,0.573314474
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92,0.850238129,0,0.573314474
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9,0.850238129,0,0.573314474
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2,0.850238129,0,0.573314474
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61,0.850238129,0,0.573314474
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03,0.849980432,0,0.514347826
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08,0.849980432,0,0.514347826
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48,0.849980432,0,0.514347826
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54,0.849980432,0,0.514347826
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34,0.849980432,0,0.514347826
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45,0.850320479,0,0.657908565
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72,0.850320479,0,0.657908565
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47,0.850320479,0,0.657908565
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56,0.850320479,0,0.657908565
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39,0.850320479,0,0.657908565
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76,1.062436029,0,0.983142685
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48,1.062436029,0,0.983142685
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54,1.062436029,0,0.983142685
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63,1.062436029,0,0.983142685
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54,1.062436029,0,0.983142685
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,0.72491813,0.250595238,0.975
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82,0.72491813,0.250595238,0.975
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24,0.72491813,0.250595238,0.975
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85,0.72491813,0.250595238,0.975
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23,0.72491813,0.250595238,0.975
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18,0.850224593,0.45905475,0.114646701
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,0.850224593,0.45905475,0.114646701
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71,0.850224593,0.45905475,0.114646701
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,0.850224593,0.45905475,0.114646701
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9,0.850224593,0.45905475,0.114646701
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18,0.850205838,0.458840037,0.114593078
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84,0.850205838,0.458840037,0.114593078
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23,0.850205838,0.458840037,0.114593078
